id	Norm_expression	gene_symbol	Group	Hox_cluster
ENST00000243056:HOXC13	0	HOXC13	HGG-H3.3K27M-Pons	HOXC
ENST00000243103:HOXC12	0	HOXC12	HGG-H3.3K27M-Pons	HOXC
ENST00000243082:HOXC11	0	HOXC11	HGG-H3.3K27M-Pons	HOXC
ENST00000303460:HOXC10	1.9141516474012068	HOXC10	HGG-H3.3K27M-Pons	HOXC
ENST00000040584:HOXC8	0	HOXC8	HGG-H3.3K27M-Pons	HOXC
ENST00000394331:HOXC6	1.2761010982674712	HOXC6	HGG-H3.3K27M-Pons	HOXC
ENST00000312492:HOXC5	2.5522021965349424	HOXC5	HGG-H3.3K27M-Pons	HOXC
ENST00000609810:HOXC4	35.092780202355456	HOXC4	HGG-H3.3K27M-Pons	HOXC
ENST00000239174:HOXB1	0	HOXB1	HGG-H3.3K27M-Pons	HOXB
ENST00000330070:HOXB2	124.41985708107845	HOXB2	HGG-H3.3K27M-Pons	HOXB
ENST00000470495:HOXB3	45.301588988495226	HOXB3	HGG-H3.3K27M-Pons	HOXB
ENST00000332503:HOXB4	15.313213179209654	HOXB4	HGG-H3.3K27M-Pons	HOXB
ENST00000239151:HOXB5	0	HOXB5	HGG-H3.3K27M-Pons	HOXB
ENST00000484302:HOXB6	0	HOXB6	HGG-H3.3K27M-Pons	HOXB
ENST00000239165:HOXB7	2.5522021965349424	HOXB7	HGG-H3.3K27M-Pons	HOXB
ENST00000239144:HOXB8	0	HOXB8	HGG-H3.3K27M-Pons	HOXB
ENST00000311177:HOXB9	0	HOXB9	HGG-H3.3K27M-Pons	HOXB
ENST00000290295:HOXB13	0	HOXB13	HGG-H3.3K27M-Pons	HOXB
ENST00000392539:HOXD13	1.3398666081398873	HOXD13	HGG-H3.3K27M-Pons	HOXD
ENST00000406506:HOXD12	0	HOXD12	HGG-H3.3K27M-Pons	HOXD
ENST00000249504:HOXD11	0	HOXD11	HGG-H3.3K27M-Pons	HOXD
ENST00000249501:HOXD10	1.3398666081398873	HOXD10	HGG-H3.3K27M-Pons	HOXD
ENST00000249499:HOXD9	0	HOXD9	HGG-H3.3K27M-Pons	HOXD
ENST00000313173:HOXD8	0	HOXD8	HGG-H3.3K27M-Pons	HOXD
ENST00000468418:HOXD3	1401.500472114322	HOXD3	HGG-H3.3K27M-Pons	HOXD
ENST00000306324:HOXD4	493.74084509954844	HOXD4	HGG-H3.3K27M-Pons	HOXD
ENST00000331462:HOXD1	267.3033883239075	HOXD1	HGG-H3.3K27M-Pons	HOXD
ENST00000343060:HOXA1	61.63386397443482	HOXA1	HGG-H3.3K27M-Pons	HOXA
ENST00000222718:HOXA2	312.85885300066366	HOXA2	HGG-H3.3K27M-Pons	HOXA
ENST00000396352:HOXA3	311.5189863925238	HOXA3	HGG-H3.3K27M-Pons	HOXA
ENST00000360046:HOXA4	310.84905308845384	HOXA4	HGG-H3.3K27M-Pons	HOXA
ENST00000222726:HOXA5	329.60718560241224	HOXA5	HGG-H3.3K27M-Pons	HOXA
ENST00000521478:HOXA6	22.10779903430814	HOXA6	HGG-H3.3K27M-Pons	HOXA
ENST00000242159:HOXA7	1.3398666081398873	HOXA7	HGG-H3.3K27M-Pons	HOXA
ENST00000343483:HOXA9	0	HOXA9	HGG-H3.3K27M-Pons	HOXA
ENST00000283921:HOXA10	0	HOXA10	HGG-H3.3K27M-Pons	HOXA
ENST00000006015:HOXA11	1.3398666081398873	HOXA11	HGG-H3.3K27M-Pons	HOXA
ENST00000222753:HOXA13	0	HOXA13	HGG-H3.3K27M-Pons	HOXA
ENST00000508190:HOXC9	0	HOXC9	HGG-H3.3K27M-Pons	HOXC
ENST00000243056:HOXC13	0	HOXC13	HGG-H3.3K27M-Pons	HOXC
ENST00000243103:HOXC12	0	HOXC12	HGG-H3.3K27M-Pons	HOXC
ENST00000243082:HOXC11	0	HOXC11	HGG-H3.3K27M-Pons	HOXC
ENST00000303460:HOXC10	1.3398666081398873	HOXC10	HGG-H3.3K27M-Pons	HOXC
ENST00000040584:HOXC8	93.7906625697921	HOXC8	HGG-H3.3K27M-Pons	HOXC
ENST00000394331:HOXC6	133.98666081398872	HOXC6	HGG-H3.3K27M-Pons	HOXC
ENST00000312492:HOXC5	73.6926634476938	HOXC5	HGG-H3.3K27M-Pons	HOXC
ENST00000609810:HOXC4	308.16931987217407	HOXC4	HGG-H3.3K27M-Pons	HOXC
ENST00000239174:HOXB1	0	HOXB1	HGG-H3.3K27M-Pons	HOXB
ENST00000330070:HOXB2	189.59112505179405	HOXB2	HGG-H3.3K27M-Pons	HOXB
ENST00000470495:HOXB3	17.418265905818533	HOXB3	HGG-H3.3K27M-Pons	HOXB
ENST00000332503:HOXB4	4.019599824419662	HOXB4	HGG-H3.3K27M-Pons	HOXB
ENST00000239151:HOXB5	0	HOXB5	HGG-H3.3K27M-Pons	HOXB
ENST00000484302:HOXB6	2.6797332162797747	HOXB6	HGG-H3.3K27M-Pons	HOXB
ENST00000239165:HOXB7	6.699333040699436	HOXB7	HGG-H3.3K27M-Pons	HOXB
ENST00000239144:HOXB8	0	HOXB8	HGG-H3.3K27M-Pons	HOXB
ENST00000311177:HOXB9	0	HOXB9	HGG-H3.3K27M-Pons	HOXB
ENST00000290295:HOXB13	0	HOXB13	HGG-H3.3K27M-Pons	HOXB
ENST00000392539:HOXD13	0	HOXD13	HGG-H3.3K27M-Pons	HOXD
ENST00000406506:HOXD12	0	HOXD12	HGG-H3.3K27M-Pons	HOXD
ENST00000249504:HOXD11	0	HOXD11	HGG-H3.3K27M-Pons	HOXD
ENST00000249501:HOXD10	0	HOXD10	HGG-H3.3K27M-Pons	HOXD
ENST00000249499:HOXD9	0	HOXD9	HGG-H3.3K27M-Pons	HOXD
ENST00000313173:HOXD8	0	HOXD8	HGG-H3.3K27M-Pons	HOXD
ENST00000468418:HOXD3	3.0296069730870374	HOXD3	HGG-H3.3K27M-Pons	HOXD
ENST00000306324:HOXD4	0	HOXD4	HGG-H3.3K27M-Pons	HOXD
ENST00000331462:HOXD1	4.544410459630556	HOXD1	HGG-H3.3K27M-Pons	HOXD
ENST00000343060:HOXA1	0	HOXA1	HGG-H3.3K27M-Pons	HOXA
ENST00000222718:HOXA2	0	HOXA2	HGG-H3.3K27M-Pons	HOXA
ENST00000396352:HOXA3	1.5148034865435187	HOXA3	HGG-H3.3K27M-Pons	HOXA
ENST00000360046:HOXA4	4.544410459630556	HOXA4	HGG-H3.3K27M-Pons	HOXA
ENST00000222726:HOXA5	0	HOXA5	HGG-H3.3K27M-Pons	HOXA
ENST00000521478:HOXA6	0	HOXA6	HGG-H3.3K27M-Pons	HOXA
ENST00000242159:HOXA7	0	HOXA7	HGG-H3.3K27M-Pons	HOXA
ENST00000343483:HOXA9	0	HOXA9	HGG-H3.3K27M-Pons	HOXA
ENST00000283921:HOXA10	0	HOXA10	HGG-H3.3K27M-Pons	HOXA
ENST00000006015:HOXA11	0	HOXA11	HGG-H3.3K27M-Pons	HOXA
ENST00000222753:HOXA13	0	HOXA13	HGG-H3.3K27M-Pons	HOXA
ENST00000508190:HOXC9	0	HOXC9	HGG-H3.3K27M-Pons	HOXC
ENST00000243056:HOXC13	0	HOXC13	HGG-H3.3K27M-Pons	HOXC
ENST00000243103:HOXC12	0	HOXC12	HGG-H3.3K27M-Pons	HOXC
ENST00000243082:HOXC11	0	HOXC11	HGG-H3.3K27M-Pons	HOXC
ENST00000303460:HOXC10	0	HOXC10	HGG-H3.3K27M-Pons	HOXC
ENST00000040584:HOXC8	0	HOXC8	HGG-H3.3K27M-Pons	HOXC
ENST00000394331:HOXC6	0	HOXC6	HGG-H3.3K27M-Pons	HOXC
ENST00000312492:HOXC5	0	HOXC5	HGG-H3.3K27M-Pons	HOXC
ENST00000609810:HOXC4	6.059213946174075	HOXC4	HGG-H3.3K27M-Pons	HOXC
ENST00000239174:HOXB1	0	HOXB1	HGG-H3.3K27M-Pons	HOXB
ENST00000330070:HOXB2	3.0296069730870374	HOXB2	HGG-H3.3K27M-Pons	HOXB
ENST00000470495:HOXB3	4.544410459630556	HOXB3	HGG-H3.3K27M-Pons	HOXB
ENST00000332503:HOXB4	1.5148034865435187	HOXB4	HGG-H3.3K27M-Pons	HOXB
ENST00000239151:HOXB5	0	HOXB5	HGG-H3.3K27M-Pons	HOXB
ENST00000484302:HOXB6	0	HOXB6	HGG-H3.3K27M-Pons	HOXB
ENST00000239165:HOXB7	0	HOXB7	HGG-H3.3K27M-Pons	HOXB
ENST00000239144:HOXB8	0	HOXB8	HGG-H3.3K27M-Pons	HOXB
ENST00000311177:HOXB9	0	HOXB9	HGG-H3.3K27M-Pons	HOXB
ENST00000290295:HOXB13	0	HOXB13	HGG-H3.3K27M-Pons	HOXB
ENST00000392539:HOXD13	0	HOXD13	HGG-H3.3K27M-Thal.	HOXD
ENST00000406506:HOXD12	0	HOXD12	HGG-H3.3K27M-Thal.	HOXD
ENST00000249504:HOXD11	0	HOXD11	HGG-H3.3K27M-Thal.	HOXD
ENST00000249501:HOXD10	0	HOXD10	HGG-H3.3K27M-Thal.	HOXD
ENST00000249499:HOXD9	0	HOXD9	HGG-H3.3K27M-Thal.	HOXD
ENST00000313173:HOXD8	0	HOXD8	HGG-H3.3K27M-Thal.	HOXD
ENST00000468418:HOXD3	0	HOXD3	HGG-H3.3K27M-Thal.	HOXD
ENST00000306324:HOXD4	0	HOXD4	HGG-H3.3K27M-Thal.	HOXD
ENST00000331462:HOXD1	1.335830307655824	HOXD1	HGG-H3.3K27M-Thal.	HOXD
ENST00000343060:HOXA1	0	HOXA1	HGG-H3.3K27M-Thal.	HOXA
ENST00000222718:HOXA2	0	HOXA2	HGG-H3.3K27M-Thal.	HOXA
ENST00000396352:HOXA3	0	HOXA3	HGG-H3.3K27M-Thal.	HOXA
ENST00000360046:HOXA4	0	HOXA4	HGG-H3.3K27M-Thal.	HOXA
ENST00000222726:HOXA5	0	HOXA5	HGG-H3.3K27M-Thal.	HOXA
ENST00000521478:HOXA6	0	HOXA6	HGG-H3.3K27M-Thal.	HOXA
ENST00000242159:HOXA7	0	HOXA7	HGG-H3.3K27M-Thal.	HOXA
ENST00000343483:HOXA9	0	HOXA9	HGG-H3.3K27M-Thal.	HOXA
ENST00000283921:HOXA10	0	HOXA10	HGG-H3.3K27M-Thal.	HOXA
ENST00000006015:HOXA11	1.335830307655824	HOXA11	HGG-H3.3K27M-Thal.	HOXA
ENST00000222753:HOXA13	0	HOXA13	HGG-H3.3K27M-Thal.	HOXA
ENST00000508190:HOXC9	0	HOXC9	HGG-H3.3K27M-Thal.	HOXC
ENST00000243056:HOXC13	0	HOXC13	HGG-H3.3K27M-Thal.	HOXC
ENST00000243103:HOXC12	0	HOXC12	HGG-H3.3K27M-Thal.	HOXC
ENST00000243082:HOXC11	0	HOXC11	HGG-H3.3K27M-Thal.	HOXC
ENST00000303460:HOXC10	0	HOXC10	HGG-H3.3K27M-Thal.	HOXC
ENST00000040584:HOXC8	0	HOXC8	HGG-H3.3K27M-Thal.	HOXC
ENST00000394331:HOXC6	0	HOXC6	HGG-H3.3K27M-Thal.	HOXC
ENST00000312492:HOXC5	0	HOXC5	HGG-H3.3K27M-Thal.	HOXC
ENST00000609810:HOXC4	4.007490922967472	HOXC4	HGG-H3.3K27M-Thal.	HOXC
ENST00000239174:HOXB1	0	HOXB1	HGG-H3.3K27M-Thal.	HOXB
ENST00000330070:HOXB2	1.335830307655824	HOXB2	HGG-H3.3K27M-Thal.	HOXB
ENST00000470495:HOXB3	0	HOXB3	HGG-H3.3K27M-Thal.	HOXB
ENST00000332503:HOXB4	0	HOXB4	HGG-H3.3K27M-Thal.	HOXB
ENST00000239151:HOXB5	1.335830307655824	HOXB5	HGG-H3.3K27M-Thal.	HOXB
ENST00000484302:HOXB6	0	HOXB6	HGG-H3.3K27M-Thal.	HOXB
ENST00000239165:HOXB7	0	HOXB7	HGG-H3.3K27M-Thal.	HOXB
ENST00000239144:HOXB8	0	HOXB8	HGG-H3.3K27M-Thal.	HOXB
ENST00000311177:HOXB9	0	HOXB9	HGG-H3.3K27M-Thal.	HOXB
ENST00000290295:HOXB13	0	HOXB13	HGG-H3.3K27M-Thal.	HOXB
ENST00000392539:HOXD13	0	HOXD13	HGG-H3.3K27M-Thal.	HOXD
ENST00000406506:HOXD12	0	HOXD12	HGG-H3.3K27M-Thal.	HOXD
ENST00000249504:HOXD11	0	HOXD11	HGG-H3.3K27M-Thal.	HOXD
ENST00000249501:HOXD10	0	HOXD10	HGG-H3.3K27M-Thal.	HOXD
ENST00000249499:HOXD9	0	HOXD9	HGG-H3.3K27M-Thal.	HOXD
ENST00000313173:HOXD8	0	HOXD8	HGG-H3.3K27M-Thal.	HOXD
ENST00000468418:HOXD3	0	HOXD3	HGG-H3.3K27M-Thal.	HOXD
ENST00000306324:HOXD4	0	HOXD4	HGG-H3.3K27M-Thal.	HOXD
ENST00000331462:HOXD1	12.69983987459103	HOXD1	HGG-H3.3K27M-Thal.	HOXD
ENST00000343060:HOXA1	5.079935949836412	HOXA1	HGG-H3.3K27M-Thal.	HOXA
ENST00000222718:HOXA2	1.269983987459103	HOXA2	HGG-H3.3K27M-Thal.	HOXA
ENST00000396352:HOXA3	0	HOXA3	HGG-H3.3K27M-Thal.	HOXA
ENST00000360046:HOXA4	0	HOXA4	HGG-H3.3K27M-Thal.	HOXA
ENST00000222726:HOXA5	0	HOXA5	HGG-H3.3K27M-Thal.	HOXA
ENST00000521478:HOXA6	0	HOXA6	HGG-H3.3K27M-Thal.	HOXA
ENST00000242159:HOXA7	0	HOXA7	HGG-H3.3K27M-Thal.	HOXA
ENST00000343483:HOXA9	2.539967974918206	HOXA9	HGG-H3.3K27M-Thal.	HOXA
ENST00000283921:HOXA10	2.539967974918206	HOXA10	HGG-H3.3K27M-Thal.	HOXA
ENST00000006015:HOXA11	0	HOXA11	HGG-H3.3K27M-Thal.	HOXA
ENST00000222753:HOXA13	0	HOXA13	HGG-H3.3K27M-Thal.	HOXA
ENST00000508190:HOXC9	0	HOXC9	HGG-H3.3K27M-Thal.	HOXC
ENST00000243056:HOXC13	0	HOXC13	HGG-H3.3K27M-Thal.	HOXC
ENST00000243103:HOXC12	0	HOXC12	HGG-H3.3K27M-Thal.	HOXC
ENST00000243082:HOXC11	0	HOXC11	HGG-H3.3K27M-Thal.	HOXC
ENST00000303460:HOXC10	0	HOXC10	HGG-H3.3K27M-Thal.	HOXC
ENST00000040584:HOXC8	2.539967974918206	HOXC8	HGG-H3.3K27M-Thal.	HOXC
ENST00000394331:HOXC6	0	HOXC6	HGG-H3.3K27M-Thal.	HOXC
ENST00000312492:HOXC5	0	HOXC5	HGG-H3.3K27M-Thal.	HOXC
ENST00000609810:HOXC4	7.619903924754618	HOXC4	HGG-H3.3K27M-Thal.	HOXC
ENST00000239174:HOXB1	2.539967974918206	HOXB1	HGG-H3.3K27M-Thal.	HOXB
ENST00000330070:HOXB2	5.079935949836412	HOXB2	HGG-H3.3K27M-Thal.	HOXB
ENST00000470495:HOXB3	2.539967974918206	HOXB3	HGG-H3.3K27M-Thal.	HOXB
ENST00000332503:HOXB4	2.539967974918206	HOXB4	HGG-H3.3K27M-Thal.	HOXB
ENST00000239151:HOXB5	0	HOXB5	HGG-H3.3K27M-Thal.	HOXB
ENST00000484302:HOXB6	0	HOXB6	HGG-H3.3K27M-Thal.	HOXB
ENST00000239165:HOXB7	0	HOXB7	HGG-H3.3K27M-Thal.	HOXB
ENST00000239144:HOXB8	0	HOXB8	HGG-H3.3K27M-Thal.	HOXB
ENST00000311177:HOXB9	0	HOXB9	HGG-H3.3K27M-Thal.	HOXB
ENST00000290295:HOXB13	0	HOXB13	HGG-H3.3K27M-Thal.	HOXB
ENST00000392539:HOXD13	0	HOXD13	PFA-EZHIP-PF	HOXD
ENST00000406506:HOXD12	0	HOXD12	PFA-EZHIP-PF	HOXD
ENST00000249504:HOXD11	0	HOXD11	PFA-EZHIP-PF	HOXD
ENST00000249501:HOXD10	0	HOXD10	PFA-EZHIP-PF	HOXD
ENST00000249499:HOXD9	1.2650479963183545	HOXD9	PFA-EZHIP-PF	HOXD
ENST00000313173:HOXD8	12.650479963183544	HOXD8	PFA-EZHIP-PF	HOXD
ENST00000468418:HOXD3	492.10367056783986	HOXD3	PFA-EZHIP-PF	HOXD
ENST00000306324:HOXD4	280.8406551826747	HOXD4	PFA-EZHIP-PF	HOXD
ENST00000331462:HOXD1	3.795143988955063	HOXD1	PFA-EZHIP-PF	HOXD
ENST00000343060:HOXA1	29.096103915322153	HOXA1	PFA-EZHIP-PF	HOXA
ENST00000222718:HOXA2	139.78780359317815	HOXA2	PFA-EZHIP-PF	HOXA
ENST00000396352:HOXA3	173.94409949377373	HOXA3	PFA-EZHIP-PF	HOXA
ENST00000360046:HOXA4	120.81208364840285	HOXA4	PFA-EZHIP-PF	HOXA
ENST00000222726:HOXA5	19.608243942934493	HOXA5	PFA-EZHIP-PF	HOXA
ENST00000521478:HOXA6	0	HOXA6	PFA-EZHIP-PF	HOXA
ENST00000242159:HOXA7	0	HOXA7	PFA-EZHIP-PF	HOXA
ENST00000343483:HOXA9	2.530095992636709	HOXA9	PFA-EZHIP-PF	HOXA
ENST00000283921:HOXA10	0	HOXA10	PFA-EZHIP-PF	HOXA
ENST00000006015:HOXA11	0	HOXA11	PFA-EZHIP-PF	HOXA
ENST00000222753:HOXA13	0	HOXA13	PFA-EZHIP-PF	HOXA
ENST00000508190:HOXC9	0	HOXC9	PFA-EZHIP-PF	HOXC
ENST00000243056:HOXC13	0	HOXC13	PFA-EZHIP-PF	HOXC
ENST00000243103:HOXC12	0	HOXC12	PFA-EZHIP-PF	HOXC
ENST00000243082:HOXC11	0	HOXC11	PFA-EZHIP-PF	HOXC
ENST00000303460:HOXC10	0	HOXC10	PFA-EZHIP-PF	HOXC
ENST00000040584:HOXC8	0	HOXC8	PFA-EZHIP-PF	HOXC
ENST00000394331:HOXC6	0	HOXC6	PFA-EZHIP-PF	HOXC
ENST00000312492:HOXC5	6.325239981591772	HOXC5	PFA-EZHIP-PF	HOXC
ENST00000609810:HOXC4	113.22179567049272	HOXC4	PFA-EZHIP-PF	HOXC
ENST00000239174:HOXB1	0	HOXB1	PFA-EZHIP-PF	HOXB
ENST00000330070:HOXB2	354.8459629672984	HOXB2	PFA-EZHIP-PF	HOXB
ENST00000470495:HOXB3	573.0667423322145	HOXB3	PFA-EZHIP-PF	HOXB
ENST00000332503:HOXB4	449.724562691175	HOXB4	PFA-EZHIP-PF	HOXB
ENST00000239151:HOXB5	3.162619990795886	HOXB5	PFA-EZHIP-PF	HOXB
ENST00000484302:HOXB6	12.650479963183544	HOXB6	PFA-EZHIP-PF	HOXB
ENST00000239165:HOXB7	8.855335974228481	HOXB7	PFA-EZHIP-PF	HOXB
ENST00000239144:HOXB8	0	HOXB8	PFA-EZHIP-PF	HOXB
ENST00000311177:HOXB9	0.6325239981591773	HOXB9	PFA-EZHIP-PF	HOXB
ENST00000290295:HOXB13	1.2650479963183545	HOXB13	PFA-EZHIP-PF	HOXB
ENST00000392539:HOXD13	0	HOXD13	HGG-H3.3K27M-Pons	HOXD
ENST00000406506:HOXD12	0	HOXD12	HGG-H3.3K27M-Pons	HOXD
ENST00000249504:HOXD11	1.1908687634167103	HOXD11	HGG-H3.3K27M-Pons	HOXD
ENST00000249501:HOXD10	14.885859542708879	HOXD10	HGG-H3.3K27M-Pons	HOXD
ENST00000249499:HOXD9	68.47495389646085	HOXD9	HGG-H3.3K27M-Pons	HOXD
ENST00000313173:HOXD8	213.46322584244533	HOXD8	HGG-H3.3K27M-Pons	HOXD
ENST00000468418:HOXD3	1258.4505657406087	HOXD3	HGG-H3.3K27M-Pons	HOXD
ENST00000306324:HOXD4	569.8307032948959	HOXD4	HGG-H3.3K27M-Pons	HOXD
ENST00000331462:HOXD1	114.62111847885836	HOXD1	HGG-H3.3K27M-Pons	HOXD
ENST00000343060:HOXA1	32.748890993959535	HOXA1	HGG-H3.3K27M-Pons	HOXA
ENST00000222718:HOXA2	153.02663609904727	HOXA2	HGG-H3.3K27M-Pons	HOXA
ENST00000396352:HOXA3	253.95276379861346	HOXA3	HGG-H3.3K27M-Pons	HOXA
ENST00000360046:HOXA4	68.77267108731502	HOXA4	HGG-H3.3K27M-Pons	HOXA
ENST00000222726:HOXA5	6.549778198791906	HOXA5	HGG-H3.3K27M-Pons	HOXA
ENST00000521478:HOXA6	0	HOXA6	HGG-H3.3K27M-Pons	HOXA
ENST00000242159:HOXA7	1.1908687634167103	HOXA7	HGG-H3.3K27M-Pons	HOXA
ENST00000343483:HOXA9	0	HOXA9	HGG-H3.3K27M-Pons	HOXA
ENST00000283921:HOXA10	0	HOXA10	HGG-H3.3K27M-Pons	HOXA
ENST00000006015:HOXA11	0.5954343817083552	HOXA11	HGG-H3.3K27M-Pons	HOXA
ENST00000222753:HOXA13	0	HOXA13	HGG-H3.3K27M-Pons	HOXA
ENST00000508190:HOXC9	0	HOXC9	HGG-H3.3K27M-Pons	HOXC
ENST00000243056:HOXC13	0	HOXC13	HGG-H3.3K27M-Pons	HOXC
ENST00000243103:HOXC12	0	HOXC12	HGG-H3.3K27M-Pons	HOXC
ENST00000243082:HOXC11	0	HOXC11	HGG-H3.3K27M-Pons	HOXC
ENST00000303460:HOXC10	0	HOXC10	HGG-H3.3K27M-Pons	HOXC
ENST00000040584:HOXC8	0	HOXC8	HGG-H3.3K27M-Pons	HOXC
ENST00000394331:HOXC6	0	HOXC6	HGG-H3.3K27M-Pons	HOXC
ENST00000312492:HOXC5	0	HOXC5	HGG-H3.3K27M-Pons	HOXC
ENST00000609810:HOXC4	2.977171908541776	HOXC4	HGG-H3.3K27M-Pons	HOXC
ENST00000239174:HOXB1	0	HOXB1	HGG-H3.3K27M-Pons	HOXB
ENST00000330070:HOXB2	35.13062852079295	HOXB2	HGG-H3.3K27M-Pons	HOXB
ENST00000470495:HOXB3	13.992707970146345	HOXB3	HGG-H3.3K27M-Pons	HOXB
ENST00000332503:HOXB4	9.82466729818786	HOXB4	HGG-H3.3K27M-Pons	HOXB
ENST00000239151:HOXB5	0.5954343817083552	HOXB5	HGG-H3.3K27M-Pons	HOXB
ENST00000484302:HOXB6	0.5954343817083552	HOXB6	HGG-H3.3K27M-Pons	HOXB
ENST00000239165:HOXB7	2.3817375268334207	HOXB7	HGG-H3.3K27M-Pons	HOXB
ENST00000239144:HOXB8	0	HOXB8	HGG-H3.3K27M-Pons	HOXB
